AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137.0,4324.0,72.0,0.0,72.0,3197,$6.00,Local Listing (City),1
156.0,2514.0,359.88,0.0,359.88,3270,$29.99,Online Presence Package A,1
1047.0,2746.0,479.88,0.0,479.88,4041,$39.99,Online Presence Package A,1
1220.0,27303.0,1089.0,99.0,990.0,1492,$5.00,Winback Listing,1
1320.0,2765.0,599.88,0.0,599.88,3552,$49.99,Online Presence Package A,1
1327.0,6098.0,228.0,0.0,228.0,2313,$19.00,Online Presence Package A,1
1328.0,6100.0,228.0,0.0,228.0,2313,$19.00,Online Presence Package A,1
1483.0,3236.0,599.4000000000001,0.0,599.4000000000001,3138,$49.50,Local Listing (City),1
1616.0,7644.0,263.4,0.0,263.4,3379,$29.95,Online Presence Package A,1
1655.0,165152.0,785.88,0.0,785.88,549,$14.99,Winback Listing B,1
1683.0,7142.0,287.88,0.0,287.88,3379,$29.95,Local Listing (City),1
1775.0,6962.0,599.4000000000001,0.0,599.4000000000001,3014,$49.95,Online Presence Package A,1
1864.0,123991.0,2988.0,0.0,2988.0,730,$49.99,Winback Listing B,1
1876.0,4540.0,1176.0,0.0,1176.0,3774,$98.00,Online Presence Package A,1
1889.0,5673.0,641.9,26.95,614.95,3775,$49.00,Online Presence Package A,1
1928.0,4179.0,1559.88,0.0,1559.88,3290,$129.99,Online Presence Package A,1
1930.0,6344.0,588.0,0.0,588.0,3744,$49.00,Local Listing (City),1
1941.0,6355.0,588.0,0.0,588.0,3379,$99.00,Local Listing (City),1
1943.0,99336.0,599.88,24.99,574.89,883,$29.99,Winback Listing,1
1950.0,6953.0,588.0,0.0,588.0,3744,$49.00,Local Listing (City),1
1983.0,7067.0,599.4000000000001,0.0,599.4000000000001,3744,$49.95,Local Listing (City),1
2012.0,7416.0,98.0,0.0,98.0,3744,$49.00,Local Listing (City),1
2017.0,7653.0,654.4000000000001,0.0,654.4000000000001,3744,$49.95,Online Presence Package A,1
2040.0,8126.0,599.4000000000001,0.0,599.4000000000001,3744,$49.95,Local Listing (City),1
2049.0,173058.0,599.4000000000001,0.0,599.4000000000001,518,$49.99,Amnesty Listing B,1
2067.0,2499.0,599.4000000000001,0.0,599.4000000000001,3744,$0.00,Local Listing (City),1
2090.0,6088.0,1199.8799999999999,0.0,1199.8799999999999,3754,$69.99,Online Presence Package A,1
2100.0,3750.0,599.4000000000001,0.0,599.4000000000001,3744,$49.95,Online Presence Package A,1
2106.0,3754.0,599.4000000000001,0.0,599.4000000000001,3744,$49.95,Online Presence Package A,1
2112.0,7230.0,1309.8799999999999,0.0,1309.8799999999999,2573,$199.99,Online Presence Package A,1
2126.0,4315.0,599.4000000000001,0.0,599.4000000000001,3744,$49.95,Local Listing (City),1
2148.0,7233.0,588.0,0.0,588.0,3725,$49.95,Local Listing (City),1
2154.0,4954.0,599.4000000000001,49.94,549.46,3744,$49.95,Local Listing (City),1
2165.0,64536.0,1319.8799999999999,0.0,1319.8799999999999,1126,$49.99,Winback Listing,1
2169.0,5078.0,599.4000000000001,0.0,599.4000000000001,3743,$49.95,Local Listing (City),1
2180.0,5080.0,599.4000000000001,99.9,499.5,3773,$49.95,Local Listing (City),1
2189.0,6508.0,549.45,0.0,549.45,3713,$49.95,Local Listing (City),1
2197.0,6514.0,659.4000000000001,0.0,659.4000000000001,3713,$49.95,Online Presence Package A,1
2224.0,2536.0,599.4000000000001,0.0,599.4000000000001,3722,$49.95,Local Listing (City),1
2253.0,7927.0,49.95,0.0,49.95,3713,$49.95,Online Presence Package A,1
2265.0,7971.0,599.4000000000001,0.0,599.4000000000001,3713,$49.95,Local Listing (City),1
2268.0,7973.0,599.4000000000001,0.0,599.4000000000001,3713,$49.95,Local Listing (City),1
2278.0,7975.0,599.4000000000001,0.0,599.4000000000001,3713,$49.95,Local Listing (City),1
2289.0,2321.0,599.4000000000001,0.0,599.4000000000001,3714,$49.95,Local Listing (City),1
2299.0,4085.0,588.0,0.0,588.0,3713,$49.95,Local Listing (City),1
2314.0,3629.0,245.0,0.0,245.0,3715,$49.00,Local Listing (City),1
2315.0,6675.0,479.40000000000003,0.0,479.40000000000003,3703,$39.95,Local Listing (City),1
2316.0,2841.0,599.4000000000001,0.0,599.4000000000001,3713,$49.95,Local Listing (City),1
2322.0,2837.0,654.4000000000001,0.0,654.4000000000001,3348,$49.95,Local Listing (City),1
2324.0,2840.0,599.4000000000001,0.0,599.4000000000001,3713,$49.95,Local Listing (City),1
2329.0,2665.0,599.4000000000001,0.0,599.4000000000001,3712,$49.95,Online Presence Package A,1
2330.0,3167.0,599.4000000000001,0.0,599.4000000000001,3713,$0.00,Local Listing (City),1
2336.0,3785.0,599.4000000000001,0.0,599.4000000000001,3715,$49.95,Online Presence Package A,1
2357.0,3792.0,599.4000000000001,0.0,599.4000000000001,3723,$49.95,Online Presence Package A,1
2376.0,5563.0,599.4000000000001,0.0,599.4000000000001,3716,$49.95,Local Listing (City),1
2393.0,4443.0,599.4000000000001,0.0,599.4000000000001,3713,$49.95,Local Listing (City),1
2403.0,4631.0,599.4000000000001,0.0,599.4000000000001,3713,$49.95,Local Listing (City),1
2411.0,4728.0,599.4000000000001,0.0,599.4000000000001,3713,$99.90,Local Listing (City),1
2419.0,20879.0,1199.8799999999999,49.98,1149.8999999999999,1713,$5.00,Winback Listing,1
2442.0,6348.0,599.4000000000001,0.0,599.4000000000001,3683,$49.95,Local Listing (City),1
2443.0,180889.0,599.88,0.0,599.88,457,$49.99,Winback Listing B,1
2445.0,6378.0,599.4000000000001,74.91,524.49,3697,$49.95,Online Presence Package A,1
2468.0,6352.0,599.4000000000001,0.0,599.4000000000001,3682,$49.95,Local Listing (City),1
