AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137,4324,86.76,0.0,86.76,4293.0,$6.00,Local Listing (City),1
156,2514,447.0,0.0,447.0,4366.0,$29.99,Online Presence Package A,1
1047,2746,583.5600000000001,0.0,583.5600000000001,5137.0,$39.99,Online Presence Package A,1
1320,2765,732.5999999999999,0.0,732.5999999999999,4648.0,$49.99,Online Presence Package A,1
1327,6098,285.48,0.0,285.48,3409.0,$19.00,Online Presence Package A,1
1328,6100,285.48,0.0,285.48,3409.0,$19.00,Online Presence Package A,1
1483,3236,366.29999999999995,0.0,366.29999999999995,4233.0,$49.50,Local Listing (City),2
1483,20183263,61.99,0.0,61.99,31.0,$0.00,Amnesty Listing B,2
1864,123991,3638.88,184.97,3453.91,1826.0,$49.99,Winback Listing B,1
1928,4179,1900.08,0.0,1900.08,4384.0,$129.99,Online Presence Package A,1
1930,6344,720.24,12.0,708.24,4840.0,$49.00,Local Listing (City),1
1941,6355,420.14000000000004,0.0,420.14000000000004,4485.0,$99.00,Local Listing (City),1
1950,6953,720.24,0.0,720.24,4840.0,$49.00,Local Listing (City),1
1983,7067,732.5999999999999,0.0,732.5999999999999,4840.0,$49.95,Local Listing (City),1
2017,7653,732.5999999999999,0.0,732.5999999999999,4840.0,$49.95,Online Presence Package A,1
2040,8126,670.5600000000001,55.88,614.6800000000001,4834.0,$49.95,Local Listing (City),1
2049,20046931,1759.92,593.97,1165.95,29.0,$1.00,Amnesty Listing Easy Start B,1
2067,2499,732.5999999999999,0.0,732.5999999999999,4838.0,$0.00,Local Listing (City),1
2090,6088,1465.44,0.0,1465.44,4848.0,$69.99,Online Presence Package A,1
2100,3750,732.5999999999999,0.0,732.5999999999999,4840.0,$49.95,Online Presence Package A,1
2106,3754,732.5999999999999,0.0,732.5999999999999,4840.0,$49.95,Online Presence Package A,1
2112,20085420,731.98,439.18,292.8,31.0,$49.99,Winback Listing Easy Start B,1
2126,4315,732.5999999999999,0.0,732.5999999999999,4840.0,$49.95,Local Listing (City),1
2154,4954,732.5999999999999,0.0,732.5999999999999,4840.0,$49.95,Local Listing (City),1
2165,64536,854.84,0.0,854.84,2222.0,$49.99,Winback Listing,1
2169,5078,732.5999999999999,0.0,732.5999999999999,4839.0,$49.95,Local Listing (City),1
2180,5080,732.5999999999999,0.0,732.5999999999999,4838.0,$49.95,Local Listing (City),1
2197,6514,305.25,0.0,305.25,4809.0,$49.95,Online Presence Package A,1
2224,2536,61.05,0.0,61.05,4816.0,$49.95,Local Listing (City),1
