AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
137.0,4324.0,85.5,0.0,85.5,3928.0,6.0,Local Listing (City),1
156.0,2514.0,438.48,0.0,438.48,4001.0,29.99,Online Presence Package A,1
1047.0,2746.0,574.28,0.0,574.28,4772.0,39.99,Online Presence Package A,1
1320.0,2765.0,720.48,0.0,720.48,4283.0,49.99,Online Presence Package A,1
1327.0,6098.0,279.7,0.0,279.7,3044.0,19.0,Online Presence Package A,1
1328.0,6100.0,279.7,0.0,279.7,3044.0,19.0,Online Presence Package A,1
1483.0,3236.0,720.4,0.0,720.4,3868.0,49.5,Local Listing (City),1
1616.0,7644.0,21.95,0.0,21.95,4110.0,29.95,Online Presence Package A,1
1683.0,7142.0,195.05,0.0,195.05,4110.0,29.95,Local Listing (City),1
1864.0,123991.0,3492.18,0.0,3492.18,1461.0,49.99,Winback Listing B,1
1928.0,4179.0,1869.38,0.0,1869.38,4021.0,129.99,Online Presence Package A,1
1930.0,6344.0,701.88,24.0,677.88,4475.0,49.0,Local Listing (City),1
1941.0,6355.0,701.88,0.0,701.88,4120.0,99.0,Local Listing (City),1
1950.0,6953.0,701.88,0.0,701.88,4475.0,49.0,Local Listing (City),1
1983.0,7067.0,714.3,0.0,714.3,4475.0,49.95,Local Listing (City),1
2017.0,7653.0,714.3,0.0,714.3,4475.0,49.95,Online Presence Package A,1
2040.0,8126.0,652.77,0.0,652.77,4471.0,49.95,Local Listing (City),1
2049.0,173058.0,232.0,0.0,232.0,1249.0,49.99,Amnesty Listing B,3
2049.0,887546.0,659.97,395.97,264.0,31.0,1.0,Amnesty Listing Easy Start B,3
2049.0,961686.0,439.98,263.98,176.0,31.0,1.0,Amnesty Listing Easy Start B,3
2067.0,2499.0,720.4,0.0,720.4,4475.0,0.0,Local Listing (City),1
2090.0,6088.0,1441.18,0.0,1441.18,4485.0,69.99,Online Presence Package A,1
2100.0,3750.0,720.4,0.0,720.4,4475.0,49.95,Online Presence Package A,1
2106.0,3754.0,720.4,0.0,720.4,4475.0,49.95,Online Presence Package A,1
2112.0,7230.0,830.58,0.0,830.58,3304.0,199.99,Online Presence Package A,1
2126.0,4315.0,720.4,0.0,720.4,4475.0,49.95,Local Listing (City),1
2148.0,754693.0,1499.95,0.0,1499.95,31.0,1.0,Amnesty Listing B,1
2154.0,4954.0,720.4,0.0,720.4,4475.0,49.95,Local Listing (City),1
2165.0,64536.0,1441.18,0.0,1441.18,1857.0,49.99,Winback Listing,1
2169.0,5078.0,720.4,0.0,720.4,4474.0,49.95,Local Listing (City),1
2180.0,5080.0,720.4,0.0,720.4,4473.0,49.95,Local Listing (City),1
2197.0,6514.0,714.3,0.0,714.3,4444.0,49.95,Online Presence Package A,1
2224.0,2536.0,720.4,0.0,720.4,4453.0,49.95,Local Listing (City),1
2265.0,7971.0,714.3,0.0,714.3,4444.0,49.95,Local Listing (City),1
2278.0,7975.0,714.3,0.0,714.3,4444.0,49.95,Local Listing (City),1
2289.0,2321.0,714.3,0.0,714.3,4445.0,49.95,Local Listing (City),1
2299.0,4085.0,708.0,24.0,684.0,4452.0,49.95,Local Listing (City),1
2315.0,6675.0,229.11,0.0,229.11,4439.0,39.95,Local Listing (City),1
2316.0,2841.0,232.0,0.0,232.0,4444.0,49.95,Local Listing (City),1
2322.0,2837.0,720.4,0.0,720.4,4079.0,49.95,Local Listing (City),1
2324.0,2840.0,720.4,0.0,720.4,4444.0,49.95,Local Listing (City),1
2329.0,2665.0,720.4,0.0,720.4,4443.0,49.95,Online Presence Package A,1
2330.0,3167.0,720.4,0.0,720.4,4444.0,0.0,Local Listing (City),1
2357.0,3792.0,720.4,0.0,720.4,4454.0,49.95,Online Presence Package A,1
2376.0,5563.0,720.4,15.27,705.13,4447.0,49.95,Local Listing (City),1
2393.0,4443.0,720.4,0.0,720.4,4444.0,49.95,Local Listing (City),1
2403.0,4631.0,720.4,32.33,688.07,4444.0,49.95,Local Listing (City),1
2411.0,4728.0,232.0,0.0,232.0,4444.0,99.9,Local Listing (City),1
2419.0,20879.0,1441.18,48.84,1392.34,2444.0,5.0,Winback Listing,1
2442.0,6348.0,702.1,0.0,702.1,4414.0,49.95,Local Listing (City),1
2443.0,180889.0,714.42,0.0,714.42,1183.0,49.99,Winback Listing B,1
2445.0,6378.0,702.1,77.59,624.51,4428.0,49.95,Online Presence Package A,1
2468.0,6352.0,714.3,0.0,714.3,4413.0,49.95,Local Listing (City),1
2473.0,7931.0,720.4,15.26,705.14,4437.0,49.95,Local Listing (City),1
2498.0,177480.0,720.48,0.0,720.48,1218.0,0.0,Winback Listing B,1
2511.0,5534.0,720.4,0.0,720.4,4436.0,49.95,Online Presence Package A,1
2530.0,7660.0,109.9,0.0,109.9,4414.0,49.95,Local Listing (City),2
2530.0,798905.0,54.99,0.0,54.99,31.0,1.0,Winback Listing B,2
2541.0,7637.0,714.3,0.0,714.3,4414.0,49.95,Local Listing (City),1
2542.0,3457.0,438.5,0.0,438.5,4423.0,30.0,Online Presence Package A,1
2571.0,6009.0,720.5,36.62,683.88,4420.0,50.0,Local Listing (City),1
